datetime,open,high,low,close,volume,adj_close
1672502400000,16590.1,16613.3,16581.24,16600.39,4269.58976,16600.39
1672506000000,16600.93,16604.37,16571.01,16582.08,4844.04845,16582.08
1672509600000,16581.45,16589.36,16571.8,16577.79,3340.8033,16577.79
1672513200000,16577.78,16590.06,16565.1,16570.14,4044.43359,16570.14
1672516800000,16570.14,16574.97,16564.09,16568.6,2622.14355,16568.6
1672520400000,16568.19,16571.64,16544.12,16548.28,3618.77389,16548.28
1672524000000,16548.28,16567.49,16470.0,16520.81,6695.13625,16520.81
1672527600000,16520.28,16551.24,16487.74,16542.4,4973.43307,16542.4
1672531200000,16541.77,16545.7,16508.39,16529.67,4364.8357,16529.67
1672534800000,16529.59,16556.8,16525.78,16551.47,3590.06669,16551.47
1672538400000,16551.47,16559.77,16538.14,16548.19,3318.84038,16548.19
1672542000000,16548.19,16548.19,16518.21,16533.04,4242.0805,16533.04
1672545600000,16533.04,16535.97,16511.92,16521.85,4285.00909,16521.85
1672549200000,16522.22,16534.98,16512.3,16530.71,3717.37178,16530.71
1672552800000,16530.71,16550.0,16528.81,16539.79,3344.90206,16539.79
1672556400000,16539.79,16544.57,16499.01,16526.19,5184.95822,16526.19
1672560000000,16525.7,16534.03,16508.45,16513.34,4271.92023,16513.34
1672563600000,16513.33,16542.49,16505.2,16537.88,4100.75049,16537.88
1672567200000,16538.32,16548.71,16533.42,16548.34,3803.76616,16548.34
1672570800000,16547.98,16557.0,16540.2,16556.66,3739.53013,16556.66
1672574400000,16556.66,16572.94,16548.58,16560.93,4150.48564,16560.93
1672578000000,16561.29,16567.26,16539.05,16548.04,4379.68203,16548.04
1672581600000,16547.61,16558.56,16540.85,16542.94,3294.99093,16542.94
1672585200000,16542.94,16559.99,16533.68,16558.73,3220.93236,16558.73
1672588800000,16558.73,16584.66,16558.0,16565.14,4962.13235,16565.14
1672592400000,16565.13,16596.64,16562.51,16578.85,4714.40354,16578.85
1672596000000,16579.25,16603.89,16578.85,16591.88,4146.37245,16591.88
1672599600000,16591.35,16623.65,16591.34,16603.08,4709.74023,16603.08
